"--Please Select--","Selecione..."
"API Login ID","API Login ID"
"Accepted Currency","Moedas Permitidas"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Total de %s aprovado pelo gateway de pagamento. ID da Transação: ""%s""."
"Authorize.net Direct Post","Authorize.net Envio Direto"
"Card Verification Number","Número de Verificação do Cartão"
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Close","Fechar"
"Credit Card Information","Informações do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Debug","Debug"
"Email Customer","Email do Cliente"
"Enabled","Habilitar"
"Expiration Date","Data de Validade"
"Gateway URL","Gateway URL"
"Maximum Order Total","Total Máximo do Pedido"
"Merchant MD5","Vendedor MD5"
"Merchant's Email","E-mail do Vendedor"
"Minimum Order Total","Total Mínimo do Pedido"
"New Order Status","Status do Novo Pedido"
"Order saving error: %s","Erro ao salvar pedido: %s"
"Payment Action","Ação de Pagamento"
"Payment authorization error.","Erro na autorização do pagamento."
"Payment authorization error. Transacion id is empty.","Erro na autorização de pagamento. ID da transação não existe."
"Payment error. Order was not found.","Erro no pagamento. Pedido não foi encontrado."
"Payment error. Paid amount doesn\'t match the order amount.","Erro no pagamento. Valor pago não confere com total do pedido."
"Payment from Applicable Countries","Pagamento Permitido para os Países"
"Payment from Specific Countries","Pagamento para Países Selecionados"
"Please, choose payment method","Selecione uma forma de pagamento"
"Response hash validation failed. Transaction declined.","Retorno de validação do hash falhou. Transação rejeitada."
"Sort Order","Ordem"
"Test Mode","Modo Teste"
"The order has been created.","O pedido foi criado."
"There was an error processing your order. Please contact us or try again later.","Houve um erro ao processar seu pedido. Entre em contato ou tente novamente."
"Title","Título"
"Transaction Key","Chave de Transação"
"What is this?","O que é isso?"
"You will be required to enter your payment details before you place an order.","Será solicitado que você informe os detalhes de pagamento antes de enviar seu pedido."
