"Action","Ações"
"An error occurred while creating the backup.","Ocorreu um erro ao criar o backup."
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao gravar o arquivo de backup ""%s""."
"Are you sure you want to delete the selected backup(s)?","Deseja realmente excluir os backup's selecionados?"
"Backup Type","Tipo de Backup"
"Backup file ""%s"" cannot be read from or written to.","Arquivo de backup ""%s"" sem permissão de escrita ou leitura."
"Backup file ""%s"" does not exist.","Arquivo de backup ""%s"" não existe."
"Backup file does not exist.","Arquivo de backup não existe."
"Backup file handler was unspecified.","Controle de arquivo de backup não especificado."
"Backup file not found","Arquivo de backup não encontrado"
"Backup file path was not specified.","Diretório do arquivo de backup não informado."
"Backups","Backups"
"Cannot read backup file.","Não foi possível ler o arquivo de backup."
"Create Backup","Criar Backup"
"Database","Banco de Dados"
"Database Backup","Backup Banco de Dados"
"Database and Media","Banco de Dados e Imagens"
"Database and Media Backup","Backup Banco e Imagens"
"Database was successfuly backed up.","Backup da base de dados realizado com sucesso."
"Download","Download"
"Enable Scheduled Backup","Habilitar Agendamento de Backup"
"Failed to connect to FTP","Erro de conexão com FTP"
"Failed to delete one or several backups.","Erro ao excluir um ou mais backup's."
"Failed to rollback","Erro ao desfazer"
"Failed to validate FTP","Erro ao validar FTP"
"Frequency","Frequência"
"Invalid Password.","Senha Inválida."
"Maintenance Mode","Modo de Manutenção"
"Name","Nome"
"Not enough free space to create backup.","Espaço insuficiente para criar backup."
"Not enough permissions to create backup.","Sem permissão para criar backup."
"Not enough permissions to perform rollback","Sem permissão para desfazer execução"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Desmarque a opção ""Colocar loja em modo de manutenção"" ou atualize suas permissões para prosseguir com o backup."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Desmarque a opção ""Colocar loja em modo de manutenção"" ou atualize suas permissões para prosseguir com a ação de desfazer."""
"Put store on the maintenance mode while backup's creation","Colocar a loja em modo de manutenção enquanto o backup é criado"
"Rollback","Restaurar"
"Scheduled Backup Settings","Configurações de Agendamento de Backup"
"Size, Bytes","Tamanho em Bytes"
"Start Time","Hora de Início"
"System","Sistema"
"System (excluding Media)","Sistema (excluindo Mídia)"
"System Backup","Backup Sistema"
"System couldn't put store on the maintenance mode","Não foi possível colocar a loja em modo de manutenção"
"The database and media backup has been created.","O banco de dados e a mídia de backup foram criados."
"The database backup has been created.","O backup do banco de dados foi criado."
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com Zlib, mas esta extensão não está instalada no servidor."
"The selected backup(s) has been deleted.","O backup(s) selecionado foi excluido."
"The system (excluding Media) backup has been created.","O sistema (excluindo Mídia) backup foi criado."
"The system backup has been created.","O sistema de backup foi criado."
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar o backup. Tente novamente."
"Unable to save the cron expression.","Não foi possível salvar o agendamento cron."
"Wrong order of creation for new backup.","Erro na ordem de criação do novo backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Você não possui permissões suficientes para habilitar o Modo de Manutenção durante esta operação."
