"Collected Files Count","Contagem de Arquivos Compilados"
"Compilation","Compilação"
"Compilation State","Estado da Compilação"
"Compilation error","Erro de compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Contagem de Área Compilada"
"Compiler Status","Situação do Compilador"
"Compiler include path is disabled.","Incluir caminho para compilar está desabilitado."
"Compiler include path is enabled.","Incluir caminho para compilar está habilitado."
"Directory ""%s"" must be writeable","Diretório ""%s"" precisa ter permissão de escrita"
"Disable","Desabilitar"
"Disabled","Desabilitado"
"Enable","Habilitar"
"Enabled","Habilitado"
"File ""%s"" must be writeable","Arquivo ""%s"" precisa ter permissão de escrita"
"Not Compiled","Não Compilado"
"Run Compilation Process","Rodar Processo de Compilação"
"Scopes Compilation Settings","Opções de Configuração para Compilação"
"System","Sistema"
"The compilation has completed.","A compilação está completa."
"Tools","Ferramentas"
