"1.5.0.0 & later","1.5.0.0 & superior"
"Action","Ação"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho do Conteúdo"
"Add PHP Extension dependency","Adicionar dependência de extensão PHP"
"Add Package dependency","Adicionar pacote de dependência"
"Add files","Adicionar arquivos"
"Authors","Autores"
"Channel","Canal"
"Contents","Conteúdo"
"Create Extension Package","Criar Pacote de Extensão"
"Dependencies","Dependências"
"Description","Descrição"
"Edit Extension","Editar Extensão"
"Email","Email"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Falha ao criar o pacote."
"Failed to load the package data.","Falha ao carregar dados do pacote."
"Failed to save the package.","Falha ao salvar pacote."
"Files","Arquivos"
"Folder","Pasta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licença"
"License URI","Licença URI"
"Load Local Package","Carregar Pacote Local"
"Load local Package","Carregar pacote local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gerenciador do Magento Connect"
"Max","Max"
"Maximum","Máximo"
"Min","Min"
"Minimum","Mínimo"
"Name","Nome"
"New Extension","Nova Extensão"
"PHP Version","Versão do PHP"
"Package","Pacote"
"Package Extensions","Extensões do Pacote"
"Package File Name","Nome do Arquivo para o Pacote"
"Package Info","Informações do Pacote"
"Packages","Pacotes"
"Path","Caminho"
"Pre-1.5.0.0","Pré-1.5.0.0"
"Release Info","Informações de Lançamento"
"Remove","Remover"
"Save As...","Salvar Como..."
"Save Data and Create Package","Salvar Dados e Criar Pacote"
"Save package with custom package file name","Salvar pacote com nome do arquivo de pacote personalizado"
"Summary","Sumário"
"Supported releases","Versões suportadas"
"System","Sistema"
"Target","Alvo"
"The package %s data has been loaded.","O conteúdo do pacote %s foi carregado."
"The package data has been saved.","O pacote de dados foi salvo."
"There was a problem saving package data","Ocorreu um problema ao salvar o pacote de dados"
"Type","Tipo"
"User","Usuário"
