"-- Please select --","Selecione..."
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda Base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Moeda base é usado para todas as transações de pagamento online. Escopo é definido pelo preço de catálogo (""Catálogo"" > ""Preço"" > ""Preço de Catálogo"")."
"Can\'t convert rate from ""%s-%s"".","Não foi possível converter a taxa de ""%s-%s""."
"Cannot retrieve rate from %s.","Não foi possível recuperar a taxa de %s."
"Connection Timeout in Seconds","Perda de Conexão (segundos)"
"Continue &raquo;","Avançar &raquo;"
"Country","País"
"Country Api","API País"
"Country and Format Type combination should be unique","Combinação entre País e Formato da Moeda devem ser únicos"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Configuração de Moedas"
"Currency Update Warnings","Alertas de Atualização de Moeda"
"Default Display Currency","Exibir Moeda Padrão"
"Directory","Diretório"
"Display not required State","Não exibir Estado"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário para Email de Erro"
"Error Email Sender","Remetente para Email de Erro"
"Error Email Template","Modelo para Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service specified.","Serviço de importação informado é inválido."
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Taxa recebida é inválida"
"Invalid target currency.","Destino da moeda é inválido."
"List of countries","Lista de países"
"List of regions in specified country","Lista de estados específicos por país"
"Postal Code is Optional for the following countries","CEP opcional para os países"
"Region","Região"
"Region Api","API Região"
"Scheduled Import Settings","Opções de Importação Agendadas"
"Select Your Currency","Selecione Sua Moeda"
"Service","Serviço"
"Start Time","Hora de Início"
"State is required for","Estado obrigatório para"
"State/Province","Estado"
"States Options","Opções de Estados"
"Strikeiron Email Update Warnings","Strikeiron Alertas por Email"
"Unable to initialize the import model.","Não foi possível inicializar modelo de importação."
"Undefined rate from ""%s-%s"".","Taxa desconhecida para ""%s-%s""."
"WARNING:","AVISO:"
"Webservicex","Webservicex"
"Your Currency","Moeda"
"Your Currency:","Moeda:"
"Your current currency is: %s","Sua moeda corrente é: %s"
