"%s Item(s)","%s Item(s)"
"%s-%s of %s","%s-%s de %s"
"&copy; 2012 Magento Demo Store. All Rights Reserved.","&copy; 2012 Loja Demonstração Magento. Todos os Direitos Reservados."
"&copy; 2013 Magento Demo Store. All Rights Reserved.","&copy; 2013 Loja Demonstração Magento. Todos os Direitos Reservados."
"&copy; 2014 Magento Demo Store. All Rights Reserved.","&copy; 2014 Loja Demonstração Magento. Todos os Direitos Reservados."
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(ver. %s)","(versão. %s)"
"- Click on any of the time parts to increase it","- Clique em qualquer área para aumentar"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse ou qualquer outro botão para selecionar rapidamente."
"- Use the %s buttons to select month","- Use o %s botão para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use o %s, %s botão para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para diminuir"
"- or click and drag for faster selection.","- ou clique e arraste para uma seleção rápida."
"-- Please Select --","Selecione..."
"1 column","1 coluna"
"2 columns with left bar","2 colunas com menu a esquerda"
"2 columns with right bar","2 colunas com menu a direita"
"3 columns","3 colunas"
"About the calendar","Sobre o calendário"
"Account","Conta"
"All Empty Layout Pages","Leiaute Branco em Todas as Páginas"
"All One-Column Layout Pages","Leiaute de Uma Coluna em Todas as Páginas"
"All Pages","Todas as Páginas"
"All Pages (Print Version)","Todas as Páginas (Versão de Impressão)"
"All Three-Column Layout Pages","Leiaute com Três Colunas em Todas as Páginas"
"All Two-Column Layout Pages (Left Column)","Leiaute com Duas em Todas as Páginas Colunas (Coluna à Esquerda)"
"All Two-Column Layout Pages (Right Column)","Leiaute com Duas Colunas em Todas as Páginas (Coluna à Direita)"
"Allow","Permitir"
"Breadcrumbs","Migalha"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada acontecer"
"Close","Fechar"
"Close Window","Fechar Janela"
"DHTML Date/Time Selector","Selecionar Data/Hora DHTML"
"Date selection:","Selecionar data:"
"Default Description","Descrição Padrão"
"Default welcome msg!","Mensagem de boas-vindas!"
"Display %s first","Mostrar %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Mais detalhes em %s."
"Drag to move","Arrastar para mover"
"Empty","Em Branco"
"For latest version visit: %s","Para última versão visite: %s"
"Free Shipping on orders over 50$","Frete Grátis para pedidos acima de $50"
"Go Today","Visitar"
"Help Us to Keep Magento Healthy","Ajude a manter a qualidade do Magento"
"Interface Language","Idioma do Sistema"
"Items %s to %s of %s total","Itens %s para %s do %s total"
"JavaScript seem to be disabled in your browser.","JavaScript parece estar desabilitado no seu navegador."
"Left Column","Coluna da Esquerda"
"Left Column First (shows above main column on smaller screens)","Primeiro Coluna da Esquerda (exibir acima da coluna principal em telas menores)"
"Main Content Area","Área de Conteúdo"
"Menu","Menu"
"Navigation Bar","Barra de Navegação"
"Next","Próximo"
"Next month (hold for menu)","Próximo mês (segurar para menu)"
"Next year (hold for menu)","Próximo ano (segurar para menu)"
"Page Bottom","Final da Pagina"
"Page Footer","Rodapé da Página"
"Page Header","Cabeçalho da Página"
"Page Top","Topo da Pagina"
"Page:","Página:"
"Prev. month (hold for menu)","Mês Anterior (segurar para menu)"
"Prev. year (hold for menu)","Ano Anterior (segurar para menu)"
"Previous","Anterior"
"Redirecting...","Redirecionando..."
"Report All Bugs","Informe um Problema"
"Results per page","Resultados por página"
"Right Column","Coluna da Direita"
"Search","Procurar"
"Select Store","Selecionar Loja"
"Select Store:","Selecionar Loja:"
"Select date","Selecionar data"
"Show","Exibir"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja teste. Qualquer pedido feito nesta loja não será atendido ou entregue."
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, please see our <a href=""%s"">Privacy Policy page</a>. To accept cookies from this site, please click the Allow button below.","Este site exige o uso de cookies para funcionar adqueadamente. Para mais informações sobre os dados coletados nos cookies, leia nossa página <a href=""%s"">Política de Privacidade</a>. Para permitir cookies neste site, clique no botão abaixo Permitir."
"Time selection:","Selecionar hora:"
"Time:","Hora:"
"View All","Ver Todos"
"Welcome, %s!","Bem-Vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Você precisa habilitar o Javascript no seu navegador para aproveitar as funcionalidades do site."
"Your Language","Seu Idioma"
"Your Language:","Visão:"
"per page","por página"
