"Actions","Ações"
"Add Answer","Incluir Resposta"
"Add New Answer","Incluir Resposta"
"Add New Poll","Criar Enquete"
"Answer Title","Título da Resposta"
"Answer Title:","Título da Resposta:"
"Answer with the same title in this poll","Resposta possui o mesmo título da enquete"
"Are you sure you want to delete it?","Deseja realmente excluir?"
"Assigned Answers","Verificar Respostas"
"Closed","Fechado"
"Community Poll","Enquete"
"Date Closed","Data de Fechamento"
"Date Posted","Data de Divulgação"
"Delete","Excluir"
"Delete Answer","Excluir Resposta"
"Delete Poll","Excluir"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Permitir apenas um voto por IP"
"Edit Answer '%s'","Editar Resposta '%s'"
"Edit Poll '%s'","Editar Enquete '%s'"
"Edit Poll Answer","Editar Resposta da Enquete"
"ID","ID"
"Invalid Answer.","Resposta Inválida."
"New Poll","Nova Enquete"
"Number of Responses","Num. de Respostas"
"Open","Aberto"
"Poll Answers","Respostas desta Enquete"
"Poll Information","Informação da Enquete"
"Poll Manager","Gerenciar Enquete"
"Poll Question","Pergunta"
"Poll information","Informações da enquete"
"Poll with the same question","Enquete com a mesma pergunta"
"Polls","Enquetes"
"Save Answer","Salvar Resposta"
"Save Poll","Salvar"
"Status","Status"
"The answer has been saved.","A resposta foi salva."
"The poll does not exist.","A enquete não existe."
"Unable to find an answer to delete.","Não foi encontrado uma resposta para excluir."
"Visible In","Visível Em"
"Vote","Votar"
"Votes Count","Contar Votos"
"Votes Count:","Contar Votos:"
