"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Nova Avaliação"
"Assigned Options","Opções Disponíveis"
"Be the first to review this product","Seja o primeiro a comentar este produto"
"Default Value","Valor Padrão"
"Delete Rating","Excluir"
"Edit Rating","Editar Avaliação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se você não informar um Título para a avaliação, o valor padrão será utilizado."
"Manage Ratings","Gerenciar Avaliações"
"New Rating","Nova Avaliação"
"Option Label","Opção de Legenda"
"Option Title","Opção de Título"
"Option Title:","Opção de Título:"
"Please select one of each ratings above","Selecione uma das avaliações listadas"
"Rating Information","Informação"
"Rating Name","Nome da Avaliação"
"Rating Options","Opções"
"Rating Title","Título"
"Rating Visibility","Visibilidade da Avaliação"
"Rating isn't Available","Avaliação não está disponível"
"Rating with the same title","Avaliação com mesmo título"
"Save Rating","Salvar"
"Sort Order","Ordem"
"Visible In","Visível Em"
