"%d Review(s)","%d Comentário(s)"
"%s Review(s)","%s Comentário(s)"
"(Posted on %s)","(Enviado em %s)"
"1 star","1 estrela"
"2 star","2 estrelas"
"2 stars","2 estrelas"
"3 star","3 estrelas"
"3 stars","3 estrelas"
"4 star","4 estrelas"
"4 stars","4 estrelas"
"5 star","5 estrelas"
"5 stars","5 estrelas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Novo Comentário"
"Add Your Review","Comentar"
"Administrator","Administrador"
"All Reviews","Todos Comentários"
"All Reviews of Customer `%s`","Comentários do Cliente `%s`"
"All Reviews of Product `%s`","Comentários do Produto `%s`"
"Allow Guests to Write Reviews","Permitir comentário de visitantes"
"Approved","Aprovado"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Média de avaliação dos clientes"
"Average Customer Rating:","Média de avaliação dos clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar"
"Back to My Reviews","Voltar"
"Back to Product Reviews","Voltar"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Catalog Product Review View","Visualizar comentários dos produtos do catálogo"
"Catalog Product Reviews List","Listar comentários dos produtos do catálogo"
"Created On","Criado em"
"Customer","Cliente"
"Customer My Account Product Reviews","Cliente Minha Conta Produtos Comentários"
"Customer My Account Review Details","Cliente Minha Conta Comentários Detalhes"
"Customer Reviews","Comentários do Cliente"
"Customers Reviews","Comentários dos Clientes"
"Delete","Excluir"
"Delete Review","Excluir"
"Detailed Rating","Detalhes da Avaliação"
"Edit Review '%s'","Editar Comentário '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você avalia este produto?"
"ID","ID"
"Let us know your thoughts","Conte-me mais sobre isso"
"Manage Ratings","Gerenciar Avaliações"
"My Product Reviews","Meus Comentários"
"My Recent Reviews","Últimos Comentários"
"Name","Nome"
"Name in Store","Nome na Loja"
"New Review","Novo Comentário"
"Nickname","Apelido"
"Nickname can\'t be empty","Apelido deve ser preenchido"
"Not Approved","Não Aprovado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Apenas usuários registrados podem comentar. Por favor, <a href=""%s"">identifique-se</a> ou <a href=""%s"">cadastre-se</a>"
"Pending","Pendente"
"Pending Reviews","Comentários Pendentes"
"Pending Reviews of Customer `%s`","Comentário pendente para o cliente `%s`"
"Please select a product","Selecione um produto"
"Please select one of each of the ratings above","Selecione uma das opções listadas"
"Posted By","Enviado por"
"Price","Preço"
"Product","Produto"
"Product Name","Produto(s)"
"Product Rating","Avaliação do Produto"
"Product Rating:","Avaliação do Produto:"
"Product Review (submitted on %s):","Comentário do Produto (enviado em %s):"
"Product Reviews","Comentários do Produto"
"Product SKU","SKU do Produto"
"Products Reviews","Comentários dos Produtos"
"Qty","Qtd"
"Rating:","Avaliação:"
"Review","Comentário"
"Review (submitted on %s):","Comentário (enviado em %s):"
"Review Details","Detalhes do Comentário"
"Review Form Fields Before","Primeiro o Formulário de Comentário"
"Review by %s","Avaliado por %s"
"Review by <span>%s</span>","Comentado por <span>%s</span>"
"Review can\'t be empty","Comentário deve ser preenchido"
"Review summary can\'t be empty","Resumo do comentário deve ser preenchido"
"Reviews","Avaliações"
"Reviews and Ratings","Avaliações e Comentários"
"SKU","SKU"
"Save Review","Salvar"
"Status","Status"
"Submit Review","Enviar Comentário"
"Summary Rating","Resumo da Avaliação"
"Summary of Review","Resumo do Comentário"
"Summary of Your Review","Título do seu comentário"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Não foi possível enviar o comentário."
"Update Status","Alterar Status..."
"View All Reviews","Ver todos"
"View Details","Visualizar"
"Visible In","Visível em"
"Websites","Websites"
"What's your nickname?","Qual seu nome?"
"Write Your Own Review","Queremos saber sua opinião"
"You have submitted no reviews.","Você não fez nenhum comentário."
"You're reviewing:","Produto:"
"Your Rating:","Sua avaliação:"
"Your Review (submitted on %s):","Seu Comentário (enviado em %s):"
"Your review has been accepted for moderation.","Seu comentário aguarda aprovação."
