"%s - Discounts and Coupons","%s - Descontos e Cupons"
"%s - Special Products","%s - Produtos Especiais"
"%s RSS Feed","%s Feed RSS"
"%s has reached a quantity of %s.","%s chegou a quantidade de %s."
"%s\'s Wishlist","%s\'s Favoritos"
"Cannot retrieve the wishlist","Não foi possível recuperar a lista de favoritos"
"Catalog","Catálogo"
"Category Feeds","Feed de Categorias"
"Click for price","Clique por preço"
"Comment: %s<br/>","Comentário: %s<br/>"
"Coupons/Discounts","Cupons/Descontos"
"Current Status: %s<br/>","Situação Atual: %s<br/>"
"Customer Name: %s","Nome do Cliente: %s"
"Customer Order Status Notification","Notificação de Status do Pedido do Cliente"
"Details for %s #%s","Detalhes para %s #%s"
"Discount","Desconto"
"Discount (%s)","Desconto (%s)"
"Enable RSS","Habilitar RSS"
"Error in processing xml. %s","Erro ao processar xml. %s"
"From:","De:"
"Get Feed","Obter Feed"
"Gift Message","Mensagem para Presente"
"Grand Total","Total"
"Low Stock Products","Produtos com Baixo Estoque"
"Message:","Mensagem:"
"Miscellaneous Feeds","Diversos Feeds"
"New Orders","Novos Pedidos"
"New Products","Novos Produtos"
"New Products from %s","Novos Produtos de %s"
"Notified Date: %s<br/>","Data de Notificação: %s<br/>"
"Order # %s Notification(s)","Pedido # %s Notificação(s)"
"Order #%s created at %s","Pedido #%s criado em %s"
"Pending product review(s)","Análise(s) de produto pendente"
"Product: ""%s"" review By: %s","Produto: ""%s"" avaliado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produtos marcados com %s"
"Purchased From: %s","Comprado de: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","Lista de RSS Feeds"
"RSS Feeds Section","Seção RSS Feeds"
"Review: %s <br/>","Avaliação: %s <br/>"
"Rss Config","Configurar Rss"
"Shipping &amp; Handling","Entrega &amp; Manuseio"
"Special Products","Produtos Especiais"
"Store: %s <br/>","Loja: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Resumo da avaliação: %s <br/>"
"Tags Products","Produtos Marcados"
"Tax","Imposto"
"There are no Rss Feeds","Não existe nenhum Rss Feeds"
"To:","Para:"
"Top Level Category","Categoria de Alto Nível"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Favoritos"
"click <a href=""%s"">here</a> to view the review","clique <a href=""%s"">aqui</a> para ver a avaliação"
