"ALL","TODAS"
"ANY","QUALQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de Condições"
"Customer Groups must be specified.","Grupo de Clientes precisa ser informado."
"End Date should be greater than Start Date","Data final deve ser maior que Data inicial"
"FALSE","FALSA"
"If %s of these conditions are %s:","Se %s condições forem %s:"
"Invalid discount amount.","Total do desconto inválido."
"Open Chooser","Abrir Escolha"
"Perform following actions","Executar ações seguintes"
"Please choose a condition to add...","Selecionar condição..."
"Please choose an action to add...","Selecionar ação..."
"Remove","Excluir"
"TRUE","VERDADEIRA"
"There is no information about associated entity type ""%s"".","Não há informação sobre o tipo de entidade associada ""%s""."
"Websites must be specified.","O campo Websites precisa ser informado."
"by","por"
"contains","contém"
"does not contain","não contém"
"does not contains","não contém"
"equals or greater than","igual ou maior que"
"equals or less than","igual ou menor que"
"for","para"
"for greater than","maior que"
"for or greater than","para ou maior que"
"found","encontrado"
"from","de"
"greater than","maior que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menor que"
"not found","não encontrado"
"not from","não seja"
"to","para"
"was","foi"
"was not","não foi"
