"%s","%s"
"-- Please Select --","Selecione..."
"Actions","Ações"
"Add Layout Update","Adicionar Atualização de Leiaute"
"Add New Widget Instance","Criar Widget"
"All","Todos"
"All Pages","Todas as Páginas"
"All Product Types","Todos os Tipos de Produtos"
"An error occurred during saving a widget: %s","Ocorreu um erro ao salvar o widget: %s"
"Anchor Categories","Linkar Categorias"
"Apply","Aplicar"
"Assign to Store Views","Atribuir a Visão"
"Big Image","Imagem Grande"
"Block Reference","Bloco de Referência"
"CMS","CMS"
"Categories","Categorias"
"Choose...","Escolha..."
"Close","Fechar"
"Continue","Avançar"
"Default Template","Modelo Padrão"
"Delete","Excluir"
"Design Package/Theme","Pacote de Template"
"Export to:","Exportar para:"
"Frontend Properties","Propriedades de Frontend"
"Generic Pages","Páginas Genéricas"
"Images","Imagens"
"Insert Widget","Inserir Widget"
"Insert Widget...","Inserir Widget..."
"Layout Updates","Atualizar Leiaute"
"Manage Widget Instances","Gerenciar Widgets"
"New Instance","Novo Exemplo"
"New Widget Instance","Novo Widget"
"Next page","Próxima página"
"Non-Anchor Categories","Não Linkar Categorias"
"Not Selected","Não Selecionado"
"Open Chooser","Abrir Escolha"
"Page","Página"
"Please Select Block Reference First","Selecione um Bloco de Referência Primeiro"
"Previous page","Página anterior"
"Products","Produtos"
"Remove Layout Update","Excluir Atualização de Leiaute"
"Save and Continue Edit","Salvar e Continuar Editando"
"Select All","Marcar Todos"
"Select Visible","Marcar Visíveis"
"Settings","Configurações"
"Sort Order","Ordem"
"Sort Order of widget instances in the same block reference","Ordem de exibição de widget em um mesmo bloco de referência"
"Specific %s","Específico %s"
"Specified Page","Página Específica"
"Template","Template"
"The information in this tab has been changed.","A informação desta guia foi alterada."
"The widget instance has been deleted.","O widget foi excluído."
"The widget instance has been saved.","O widget foi salvo."
"This tab contains invalid data. Please solve the problem before saving.","Este guia possui conteúdo inválido. Verifique as informações antes de salvar."
"Thumbnail","Miniatura"
"Total %d records found","Total de %d registros encontrados"
"Type","Tipo"
"Unselect All","Desmarcar Todos"
"Unselect Visible","Desmarcar Visíveis"
"View","Visualizar"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID Widget"
"Widget Insertion","Inserir Widget"
"Widget Instance","Exemplo de Widget"
"Widget Instance Title","Título do Widget"
"Widget Options","Opções de Widget"
"Widget Type","Tipo de Widget"
"Widget Type is not specified","Tipo de Widget não foi especificado"
"Widget instance is not full complete to create.","Exemplo de Widget não esta completo para ser criado."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Erro ao especificar exemplo de widget."
"items selected","itens selecionados"
"of %s pages","de %s páginas"
"per page","por página"
